director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,imdb_score,comb
rich moore,rich moore (director); phil johnston (director/screenplay[220]); pamela ribon (screenplay[220]); john c. reilly,sarah silverman,gal gadot,family animation comedy adventure,ralph breaks the internet,,rich moore (director); phil johnston (director/screenplay[220]); pamela ribon (screenplay[220]); john c. reilly sarah silverman gal gadot rich moore family animation comedy adventure
steven caple jr.,michael b. jordan,sylvester stallone,tessa thompson,drama action,creed ii,,michael b. jordan sylvester stallone tessa thompson steven caple jr. drama action
otto bathurst,taron egerton,jamie foxx,ben mendelsohn,animation family adventure,robin hood,,taron egerton jamie foxx ben mendelsohn otto bathurst animation family adventure
alfonso cuarón,yalitza aparicio,marina de tavira,jorge antonio guerrero,drama,roma,,yalitza aparicio marina de tavira jorge antonio guerrero alfonso cuarón drama
yorgos lanthimos,olivia colman,emma stone,rachel weisz,drama comedy thriller history,the favourite,,olivia colman emma stone rachel weisz yorgos lanthimos drama comedy thriller history
andy serkis,christian bale,cate blanchett,benedict cumberbatch,adventure drama,mowgli: legend of the jungle,,christian bale cate blanchett benedict cumberbatch andy serkis adventure drama
diederik van rooijen,shay mitchell,grey damon,kirby johnson,horror drama,the possession of hannah grace,,shay mitchell grey damon kirby johnson diederik van rooijen horror drama
johan bodell,christopher lee page,caitlin crommett,erik kammerland,comedy tv movie,the cabin,,christopher lee page caitlin crommett erik kammerland johan bodell comedy tv movie
josie rourke,saoirse ronan,margot robbie,jack lowden,drama history,mary queen of scots,,saoirse ronan margot robbie jack lowden josie rourke drama history
peter hedges,julia roberts,lucas hedges,courtney b. vance,drama,ben is back,,julia roberts lucas hedges courtney b. vance peter hedges drama
"bob persichetti, peter ramsey, rodney rothman",shameik moore,jake johnson,hailee steinfeld,animation action adventure science fiction,spider-man: into the spider-verse,,"shameik moore jake johnson hailee steinfeld bob persichetti, peter ramsey, rodney rothman animation action adventure science fiction"
christian rivers,hera hilmar,robert sheehan,hugo weaving,adventure science fiction,mortal engines,,hera hilmar robert sheehan hugo weaving christian rivers adventure science fiction
clint eastwood,clint eastwood,bradley cooper,laurence fishburne,crime drama,the mule,,clint eastwood bradley cooper laurence fishburne clint eastwood crime drama
barry jenkins,kiki layne,stephan james,colman domingo,romance drama,if beale street could talk,,kiki layne stephan james colman domingo barry jenkins romance drama
rob marshall,emily blunt,lin-manuel miranda,ben whishaw,fantasy family comedy,mary poppins returns,,emily blunt lin-manuel miranda ben whishaw rob marshall fantasy family comedy
james wan,jason momoa,amber heard,willem dafoe,action adventure tv movie,aquaman,,jason momoa amber heard willem dafoe james wan action adventure tv movie
travis knight,hailee steinfeld,john cena,jorge lendeborg jr.,action adventure science fiction,bumblebee,,hailee steinfeld john cena jorge lendeborg jr. travis knight action adventure science fiction
robert zemeckis,steve carell,leslie mann,diane kruger,drama comedy,welcome to marwen,,steve carell leslie mann diane kruger robert zemeckis drama comedy
peter segal,jennifer lopez,leah remini,vanessa hudgens,romance comedy,second act,,jennifer lopez leah remini vanessa hudgens peter segal romance comedy
etan cohen,will ferrell,john c. reilly,rebecca hall,comedy mystery crime,holmes & watson,,will ferrell john c. reilly rebecca hall etan cohen comedy mystery crime
adam mckay,christian bale,amy adams,steve carell,comedy drama,vice,,christian bale amy adams steve carell adam mckay comedy drama
mimi leder,felicity jones,armie hammer,justin theroux,drama history,on the basis of sex,,felicity jones armie hammer justin theroux mimi leder drama history
karyn kusama,nicole kidman,sebastian stan,toby kebbell,horror thriller,destroyer,,nicole kidman sebastian stan toby kebbell karyn kusama horror thriller
